contact_type,clinic_name,contact_name_or_role,city,state,email,phone,contact_url,source_ref
general,Argo Animal Clinic,,Summit,IL,argoclinic@gmail.com,708-496-0511,https://www.argovet.net/contact,turn3search25
general,North Jersey Veterinary Hospital,,North Haledon,NJ,info@nnjvh.com,973-427-1234,https://northjerseyveterinaryhospital.com/contact-us/,turn3search30
general,Thorpe Animal Hospital,,Lapeer,MI,info@thorpevet.com,810-664-2233,https://www.thorpevet.com/contact-us.pml,turn3search31
general,Village Veterinary Hospital,,Collinsville,IL,hello@villagevetpet.com,618-344-0083,https://villagevetpet.com/contact/,turn3search33
general,Daisy Mountain Veterinary Hospital,,Anthem,AZ,info@daisymountainvet.com,623-551-8387,https://daisymountainvet.com/contact,turn4search2
general,Hospital for Veterinary Surgery,,New York,NY,info@hvsny.com,646-974-1506,https://www.hvsny.com/contact-us,turn4search4
general,Hawks Prairie Veterinary Hospital,,Lacey,WA,hawksprairievh@yourvetdoc.com,360-459-6556,https://hawksprairieveterinaryhospital.com/contact,turn4search7
general,Nachbar Veterinary Hospital,,Springville,NY,sgndvm459@gmail.com,716-592-7387,https://nachbarveterinaryhospital.com/contact/,turn4search8
general,New River Veterinary Hospital,,New River,AZ,contactus@newrivervets.com,623-465-9488,https://www.newrivervets.com/contact-us/,turn4search10
general,Boston Valley Animal Hospital,,Hamburg,NY,bostonvalley@buffaloveterinarygroup.com,716-312-0300,https://bostonvalleyanimalhospital.com/contact-us/,turn4search12
general,Duval Animal Hospital,,Green Valley,AZ,recordsduval@aol.com,520-393-6357,https://duvalanimalhospital.com/contact,turn4search14
general,South Hill Veterinary Hospital,,Puyallup,WA,shvh@comcast.net,253-848-1503,https://www.southhillvet.com/contact-us,turn4search15
general,Newburgh Veterinary Hospital,,Newburgh,NY,dvm@newburghvet.com,845-564-2660,https://newburghvet.com/contact/,turn4search16
general,Canyon Animal Hospital,,Phoenix,AZ,canyonanimalaz@gmail.com,602-971-9651,https://canyonanimalhospitalphoenix.com/contact/,turn4search18
general,Alpine View Veterinary Hospital,,Snohomish,WA,alpineviewreception@gmail.com,360-794-6662,https://www.alpineviewvet.com/contact/,turn4search19
general,Lefferts Animal Hospital,,Richmond Hill,NY,Leffertsah@yahoo.com,718-849-5770,https://leffertsvet.com/contact-us,turn4search24
general,Wellington Veterinary Hospital,,Wellington,CO,info@wellingtonvets.com,970-568-7387,https://wellingtonvets.com/contact/,turn4search25
general,Troy Veterinary Hospital,,Troy,NY,info@troyvet.net,518-279-4668,https://troyvet.net/contact/,turn4search28
general,Yavapai Emergency Animal Hospital,,Prescott Valley,AZ,info@yeah.vet,928-460-7282,https://yeah.vet/contact/,turn4search30
general,Park County Animal Hospital,,Fairplay,CO,info@parkcountyanimalhospital.com,719-836-1717,https://www.parkcountyanimalhospital.com/contact-us/,turn4search33
general,Burnt Hills Veterinary Hospital,,Burnt Hills,NY,reception@burnthillsvethosp.com,518-399-5213,https://www.burnthillsvethosp.com/contact-us.html,turn4search36
general,Big Springs Veterinary Hospital,,Maryville,TN,info@bigspringsvet.com,865-984-0404,https://bigspringsvet.com/contact/,turn5search1
general,Rolling Hills Veterinary Hospital,,Columbia,MO,rhvets@gmail.com,573-449-3791,https://rhkeenevet.com/contact,turn5search2
general,Countryside Veterinary Hospital,,Chelmsford,MA,vet@cvhonline.com,978-256-9555,https://countrysideveterinaryhospital.com/contact,turn5search4
general,Heritage Veterinary Hospital,,Creve Coeur,MO,heritageveterinaryhospital@gmail.com,314-878-8454,https://heritageveterinary.com/contact,turn5search6
general,Parkway Veterinary Hospital,,West Roxbury,MA,frontdesk@parkwayvethospital.com,617-469-8400,https://parkwayvethospital.com/contact,turn5search8
general,Oak Ridge Veterinary Hospital,,Oak Ridge,TN,reception@oakridgevets.com,865-483-6614,https://oakridgevets.com/contact/,turn5search9
general,Andes-Straley Veterinary Hospital,,Kingsport,TN,asvh3407@live.com,423-378-4443,https://andesstraleyvet.com/contact-veterinary-hospital/,turn5search13
general,Christian County Veterinary Service,,Nixa,MO,frontdesk@ccvetservice.com,417-743-2287,https://www.christiancountyvet.com/contact-us,turn5search14
general,Northeast Veterinary Hospital,,Peabody,MA,staff@northeastveterinary.com,978-538-3636,https://www.northeastveterinary.com/contact-us,turn5search24
general,Rocky Top Veterinary Hospital,,Afton,TN,contactus@rockytopvets.com,423-525-5699,https://rockytopvets.com/contact/,turn5search17
general,Columbia Animal Hospital,,Columbia,MO,frontdesk@columbiamoanimalhospital.com,573-875-3647,https://columbiamoanimalhospital.com/contact/,turn5search26
general,Highway 58 Animal Hospital,,Chattanooga,TN,hwy58faxes@gmail.com,423-892-8539,https://highway58ah.com/contact/,turn5search33
general,The Veterinary Hospital,,Eugene,OR,reception@thevethosp.com,541-688-1835,https://thevethosp.com/contact/,turn5search35
general,Dunloggin Veterinary Hospital,,Ellicott City,MD,dunlogginvethosp@yahoo.com,410-465-6218,https://dunlogginvet.com/contact-us/,turn5search23
general,Forestville Veterinary Hospital,,Raleigh,NC,forestville@rolesvillepetcare.com,919-295-4770,https://rolesvillepetcare.com/forestville/,turn6search0
office_manager,The Madison Veterinary Hospital,Office Manager Nicole,Madison,OH,nicole@themadisonvet.com,440-428-5335,https://themadisonvet.com/contact-us/,turn2search2
doctor,The Madison Veterinary Hospital,Dr. Zulandt,Madison,OH,drtom@themadisonvet.com,440-428-5335,https://themadisonvet.com/contact-us/,turn2search2
doctor,The Madison Veterinary Hospital,Dr. Barry,Madison,OH,drbarry@themadisonvet.com,440-428-5335,https://themadisonvet.com/contact-us/,turn2search2
doctor,The Madison Veterinary Hospital,Dr. Deak,Madison,OH,drdeak@themadisonvet.com,440-428-5335,https://themadisonvet.com/contact-us/,turn2search2
doctor,The Madison Veterinary Hospital,Dr. Sloan,Madison,OH,drsloan@themadisonvet.com,440-428-5335,https://themadisonvet.com/contact-us/,turn2search2
